Church Name,Street Address,Street Address Line 2,City,County,Postal / EirCode,Website,Denomination,Latitude,Longitude
Dun Laoghaire Evangelical Church,Lower Glenageary Road,,Dún Laoghaire,Dublin,A96 F6T0,https://www.dec.ie,Independent Evangelical,53.285472,-6.13323
Dundalk Community Church,Hagan House,The Ramparts,Dundalk,Louth,A91 D7VX,https://dundalkcommunitychurch.ie/,Independent Evangelical,54.001925,-6.401309
Dungarvan Christian Fellowship,4 Harbour Mill,Davitts Quay,Dungarvan,Waterford,,dungarvanchurch.org,Independent Evangelical,52.084949,-7.622171
Elevate Community Church,"St. Philomena’s, South Circular Road",,Limerick,Limerick,V94 DFP1,https://ecclimerick.com/,Independent Evangelical,52.654483,-8.63662
Emmanuel Community Church,17 Seatown Place,,Dundalk,Louth,A91 W722,https://www.emmanueldundalk.com/contact,Independent Evangelical,54.004982,-6.39205
Ennis Evangelical Church,"Unit 6, Block E, Quin Road Business Park",,Ennis,Clare,V95 XK03,https://www.ennisevangelicalchurch.org/,Independent Evangelical,52.835912,-8.969403
Enniscorthy Christian Fellowship,"Meeting room behind Bellefield Design, Enniscorthy Community Workshop",Bellefield Road,Enniscorthy,Wexford,Y21 W6D7,https://www.enniscorthychristianfellowship.ie/,Independent Evangelical,52.506334,-6.579444
Ferrybank Christian Community Church,Hillsfield Community Centre,"Belmont Road, Ferrybank",Waterford,Kilkenny,X91 W9YY,https://ferrybankchristianchurch.ie/,Independent Evangelical,52.269912,-7.097433
Free Grace Evangelical Church,8 Woodlands Avenue,,Mullingar,Westmeath,N91 WN8C,https://www.fgecmullingar.org/,Independent Evangelical,53.521216,-7.361458
Galway Christian Fellowship,"New Life Centre, Monivea Road",Ballybrit,Galway,Galway,H91 H2W8,https://gcfchurch.ie/,Independent Evangelical,53.288847,-9.008297
Good News Christian Church,14 Church Street,,Cobh,Cork,,https://goodnewschristianchurch.blogspot.com/p/contact-us.html,Independent Evangelical,51.85152,-8.289651
Gorey Christian Assembly,"The Heath, Ramsgate Village",Knockmullen,Gorey,Wexford,Y25 P277,https://goreyca.com,Independent Evangelical,52.66925,-6.297709
Grace Church New Ross,Dunbrody Wharf,,New Ross,Wexford,,http://www.thegracechurch.ie,Independent Evangelical,52.397351,-6.94361
Grace Community Church,"Corroy, Ballymurray",,Roscommon,Roscommon,F42 FT67,https://graceroscommon.church/,Independent Evangelical,53.590447,-8.120183
Grace Fellowship Church,"c/o Central Fire Station, Tara Street (corner of Pearse St & Tara St)",,Dublin 2,Dublin,,https://www.grace.ie,Independent Evangelical,53.345258,-6.253041
Hacketstown Christian Centre,The Green,,Hacketstown,Carlow,R93 FT75,,Independent Evangelical,52.861589,-6.555077
Hillside Evangelical Church,Hillside Road,,Greystones,Wicklow,A63 C927,https://www.hillside.ie,Independent Evangelical,53.144993,-6.06594
Kilkenny Community Church,17 Irishtown,,Kilkenny,Kilkenny,,http://www.kilcomchurch.org,Independent Evangelical,52.65563,-7.255477
Killarney Christian Group,Fossa Community Hall Fossa,,Killarney,Kerry,,,Independent Evangelical,52.07119,-9.58379
Killult Christian Fellowship,Killult,,Falcarragh,Donegal,F92 R5X2,https://falcarraghcc.com/,Independent Evangelical,55.134205,-8.130093
Kilmessan Christian Church,Kilmessan,,Kilmessan,Meath,,,Independent Evangelical,53.560612,-6.662344
LA GRACE Christian Assembly,"44A John F. Kennedy Avenue, JFK Industrial Estate",,"Bluebell, Dublin 12",Dublin,D12 DKR6,http://www.lagrace.info,Independent Evangelical,53.326427,-6.355311
Letterkenny Christian Fellowship,Bonagee Hall,Bonagee Road,Letterkenny,Donegal,F92 ED95,https://www.lcf.ie/,Independent Evangelical,54.944751,-7.697285
Limerick Christian Centre Mungret,Mungret College,Mungret,Limerick,Limerick,V94 0Y56,https://www.limerickchristiancentre.com/contact-us,Independent Evangelical,52.63135,-8.679542
Limerick City Church,,,,,,,Independent Evangelical,52.659873,-8.627056
Listowel Christian Fellowship,,,,,,,Independent Evangelical,52.466122,-9.530038
